,noise_cnt,runs_no,signal,noise_norm,signal_norm,le_mass,rt_aligned,dt
0.0,1.0,1.0,0.0,0.4,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.8,8.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.030000000000001137
1.0,10.0,10.0,3.0,1.0,0.6,0.00029999999992469384,0.014525817673930418,0.030000000000001137
0.0,1.0,1.0,0.0,0.25,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.8,8.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.07300000000000537
1.0,10.0,10.0,5.0,1.0,0.75,0.00029999999992469384,0.014525817673930418,0.07300000000000537
0.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.8,8.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.10699999999999932
1.0,10.0,10.0,6.0,1.0,0.8571428571428572,0.00029999999992469384,0.014525817673930418,0.10699999999999932
0.0,0.0,1.0,0.0,0.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.1,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.2,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.30000000000000004,2.0,2.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.4,3.0,3.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.5,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.6000000000000001,4.0,4.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.7000000000000001,6.0,6.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.8,8.0,8.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.9,10.0,10.0,0.0,1.0,0.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
1.0,10.0,10.0,7.0,1.0,1.0,0.00029999999992469384,0.014525817673930418,0.14100000000000534
0.0,0.0,1.0,0.0,0.0,0.0,0.00029999999992469384,0.014525817673930418,0.17899999999999494
